date,obs_hours,obs_nominalrate,obs_consumption,obs_gdpdeflator,obs_gdp,obs_wages,obs_investment
1980-09-30,-47.97142304683141,2.455,0.8190512419391949,2.2089750780808437,-0.49730254777371474,0.3140862242376974,0.7525905041434133
1980-12-31,-46.88487643312157,3.9625,0.843652184798005,2.5728682467917263,1.4748595987032376,0.04863423707061054,2.8692789134890484
1981-03-31,-46.507448259566985,4.15,-0.06854157622790957,2.5995382021485547,1.5763000898825652,-0.11641449514249169,0.5486190403993951
1981-06-30,-46.30384465572818,4.4475,-0.639822420433922,1.9618617887634304,-1.098072191668853,-0.2486133545778424,0.6526094309885322
1981-09-30,-47.536714067822736,4.3975,-0.12190433784420307,1.8642063156617983,0.8421760600716088,0.3579603820152155,-0.5196699590136467
1981-12-31,-48.56620153400344,3.3975,-1.2257638514807656,1.7144489527409323,-1.4368784117003819,-0.07320683188355437,-0.3835504639893683
1982-03-31,-50.12876395984344,3.5525,0.29098040846513573,1.3664782945431497,-1.898615162964723,1.2530101368160629,-3.133436858832156
1982-06-30,-50.1317477599761,3.6275,-0.35943881777786846,1.2907129556693597,0.12839514271536512,-0.516507483978923,-3.6047618607160437
1982-09-30,-50.65538903280494,2.7525,0.5016960907433532,1.4076717388961324,-0.7029479738125288,0.1536065038119594,-3.522649716660786
1982-12-31,-51.9731694636032,2.32,1.489796571381441,1.0309058896170065,-0.2757054518081836,0.4400217098404269,-1.0225488660710047
1983-03-31,-51.97216100178888,2.165,0.7376860309525002,0.7528716249755263,0.9972649104933451,0.24673145723714263,0.8727762119263793
1983-06-30,-50.89838568077193,2.2,1.8770921264712026,0.7393675940401856,1.9443429568231752,0.211888092729684,2.3706191473226443
1983-09-30,-49.548219057115745,2.365,1.725064252630104,1.0579828705658212,1.6753054366999698,-0.5268514950845293,4.120822389706596
1983-12-31,-48.31979079985668,2.3575,1.1868354306292295,0.7552627372136911,1.7651181523974269,0.3801155270476919,4.585245226729695
1984-03-31,-47.28918306265076,2.4225,0.6041173260773025,1.0065229359613515,1.6394577408522903,0.12474030376961598,1.9994006397088815
1984-06-30,-46.55006919648017,2.6375,1.2107242412299213,0.8523022621300669,1.4178921112022458,0.19515737488995932,3.1714094982182
1984-09-30,-46.53619066623261,2.8475,0.3294452633108458,0.884626969603497,0.6668592570689857,0.570920525266394,1.1875224039298886
1984-12-31,-46.56322635929377,2.315,0.8655500912211789,0.7462021613080516,0.5242572370058984,0.0558477737723051,1.0570251145177179
1985-03-31,-46.50844673139661,2.12,1.5815245038744763,0.9832701593087023,0.6745356748220077,0.2862281728112648,-0.02177201762970926
1985-06-30,-46.6330606574364,1.98,0.7913946924948734,0.6416069503708766,0.5871889547948927,0.31026019280226413,0.5395033531958748
1985-09-30,-46.83968581221944,1.975,1.7740133825349558,0.6009875721298741,1.2269957007005727,0.8690707881969906,-0.8327688637980668
1985-12-31,-46.35014794360525,2.025,0.06505179766334024,0.5574394148418094,0.4524606829214184,1.3187283969227415,1.6750254630223367
1986-03-31,-45.980933009798605,1.9575,0.7934959292515753,0.4965217507225894,0.6411428302538158,0.9280968564545689,0.015265913572071188
1986-06-30,-46.41212104789362,1.73,0.31732118786740315,0.37888400970276237,0.16131569678976554,0.7617735190020514,0.11296587587635853
1986-09-30,-46.001202238395024,1.5525,1.5837199713874428,0.40794744280781003,0.6677676104495323,0.8415588177809352,-0.3046308463047209
1986-12-31,-45.81298417653014,1.5675,0.3838959041943868,0.5437323358371771,0.24933401892810458,0.7954273049313287,0.581240588819476
1987-03-31,-44.87682270346999,1.555,0.11698928503240946,0.633003536136556,0.45860416009824156,-0.19140257898242474,-2.2836333996005846
1987-06-30,-44.5954085256332,1.6625,1.3386944934552059,0.690650735634879,0.7894033499176722,0.05340031602341089,0.7709500239159561
1987-09-30,-44.24737047299604,1.71,1.0382386881779393,0.7540720355810215,0.5817874942143475,0.2661568370357026,0.9696326086255869
1987-12-31,-43.94532360547046,1.73,-0.0024237696010009913,0.7935030411477584,1.421212809190131,0.3736834616728024,-0.17310880356700697
1988-03-31,-44.01656666700074,1.6675,1.4778664072668368,0.7803772273523357,0.23668403742164168,0.9381210901450165,-0.13221582963966194
1988-06-30,-43.83211061703151,1.7875,0.5857052161923004,0.9686880470787251,1.0258051380909516,0.2312507647215134,1.3280551173154964
1988-09-30,-43.868917595952716,1.995,0.6435194230182573,1.1885552351047934,0.3055304406203496,0.043550704964540055,-0.49306703459104373
1988-12-31,-43.23914200717055,2.1175,0.9977629162176926,0.8613808455065985,1.0457702904802524,-0.11506561723370057,0.9794304081482214
1989-03-31,-42.75282834979712,2.3625,0.2962843765570655,1.0358486404583367,0.7359135795428684,-0.7485152396963901,0.13365617190220225
1989-06-30,-43.00196827334222,2.4325,0.47040212041036256,1.059549464408427,0.48432674259427655,-0.6449485246324771,-0.561298090456322
1989-09-30,-43.0307542842744,2.27,0.5495895730435629,0.7277614074792105,0.4634821248737042,0.17790172548295957,1.2361498177820422
