"date","GDP","GDPCTPI","PCE","FPI","CNP16OV","CE16OV","PRS85006013","UNRATE","AWHNONAG","DFF","BAA","GS10","PRS85006063","CES0500000030","CLF16OV","PCEPILFE","COMPNFB","THREEFYTP10"
"1969-12-31",1040.7,22.12,621.5,165.8,135247.0,78575.0,57.48,3.6,37.5,8.94,8.37,7.3,8.186,123.27,81505.0,22.63,12.509,NA
"1970-03-31",1053.5,22.425,632.6,166.3,135950.0,78780.0,57.501,4.2,37.3,8.56,8.76,7.37,8.301,124.1,82210.0,22.876,12.735,NA
"1970-06-30",1070.1,22.749,642.5,166.4,136677.0,78636.0,57.146,4.8,37.0,7.88,8.98,7.71,8.322,124.82,82565.0,23.135,12.938,NA
"1970-09-30",1088.5,22.935,654.5,168.8,137456.0,78616.0,57.126,5.2,36.9,6.71,9.41,7.46,8.416,126.68,82912.0,23.393,13.151,NA
"1970-12-31",1091.5,23.234,661.2,170.7,138260.0,78643.0,56.738,5.8,36.8,5.57,9.28,6.85,8.434,127.83,83498.0,23.721,13.281,NA
"1971-03-31",1137.8,23.589,680.2,177.2,139034.0,78717.0,56.995,5.9,36.7,3.86,8.53,6.02,8.649,130.04,83676.0,24.022,13.555,NA
"1971-06-30",1159.4,23.905,694.3,186.5,139827.0,78961.0,57.2,5.9,36.8,4.57,8.61,6.25,8.804,132.24,83929.0,24.296,13.754,NA
"1971-09-30",1180.3,24.146,706.7,191.9,140603.0,79511.0,57.299,6.0,36.7,5.48,8.7,6.48,8.925,134.08,84581.0,24.526,13.943,NA
"1971-12-31",1193.6,24.345,722.9,198.7,141402.0,80229.0,57.707,5.9,36.9,4.75,8.41,5.89,9.083,136.41,85318.0,24.666,14.039,NA
"1972-03-31",1233.8,24.742,740.1,209.7,143005.0,81213.0,58.349,5.8,36.9,3.55,8.23,6.03,9.44,140.96,86208.0,24.904,14.415,NA
"1972-06-30",1270.1,24.891,758.6,214.8,143759.0,81875.0,58.779,5.7,36.9,4.3,8.22,6.14,9.619,142.67,86810.0,25.073,14.585,NA
"1972-09-30",1293.8,25.111,777.1,219.4,144523.0,82450.0,59.159,5.6,36.8,4.74,8.17,6.29,9.803,144.39,87351.0,25.262,14.78,NA
"1972-12-31",1332.0,25.394,801.9,232.2,145215.0,83002.0,59.856,5.4,36.9,5.15,7.99,6.37,10.091,147.11,87675.0,25.421,15.057,NA
"1973-03-31",1380.7,25.72,826.4,243.8,145964.0,83842.0,60.824,4.9,36.9,6.54,7.97,6.6,10.513,149.2,88232.0,25.599,15.453,NA
"1973-06-30",1417.6,26.142,842.0,250.0,146720.0,84797.0,61.487,4.9,36.9,7.82,8.09,6.81,10.771,151.29,89181.0,25.949,15.668,NA
"1973-09-30",1436.8,26.631,860.5,254.6,147478.0,85330.0,61.9,4.8,36.9,10.56,8.47,7.21,11.031,153.61,89650.0,26.295,15.94,NA
"1973-12-31",1479.1,27.092,875.6,255.9,148226.0,86236.0,62.39,4.8,36.8,10.0,8.44,6.75,11.31,155.53,90579.0,26.661,16.262,NA
"1974-03-31",1494.7,27.644,893.8,255.8,148987.0,86709.0,62.574,5.1,36.6,9.33,8.54,7.05,11.519,156.89,91379.0,27.119,16.633,NA
"1974-06-30",1534.2,28.262,922.3,260.0,149747.0,86834.0,62.919,5.2,36.5,11.25,9.06,7.54,11.851,159.97,91584.0,27.792,17.068,NA
"1974-09-30",1563.4,29.124,951.1,265.4,150498.0,87079.0,62.882,5.6,36.5,12.1,9.81,7.96,12.161,163.74,92253.0,28.588,17.575,NA
"1974-12-31",1603.0,30.008,960.9,260.9,151253.0,86588.0,62.259,6.6,36.2,9.34,10.57,7.67,12.29,165.64,92688.0,29.287,18.06,NA
"1975-03-31",1619.6,30.686,987.1,254.3,151987.0,85357.0,60.806,8.3,35.9,6.31,10.65,7.54,12.265,166.33,93023.0,29.862,18.607,NA
"1975-06-30",1656.4,31.134,1015.8,257.2,152708.0,85332.0,60.32,8.9,35.9,5.42,10.63,8.05,12.412,168.1,93619.0,30.319,19.005,NA
"1975-09-30",1713.8,31.688,1049.6,266.6,153579.0,86136.0,60.757,8.5,36.0,6.16,10.58,8.3,12.746,171.64,94128.0,30.775,19.34,NA
"1975-12-31",1765.9,32.216,1078.5,275.9,154336.0,86497.0,61.476,8.3,36.1,5.41,10.58,8.06,13.176,175.01,94309.0,31.276,19.656,NA
"1976-03-31",1824.5,32.563,1112.3,289.9,155075.0,87686.0,62.284,7.7,36.2,4.83,10.26,7.75,13.65,178.58,95049.0,31.752,20.03,NA
"1976-06-30",1856.9,32.889,1131.9,299.9,155774.0,88591.0,62.744,7.6,36.1,5.2,9.9,7.77,13.912,180.81,95826.0,32.132,20.408,NA
"1976-09-30",1890.5,33.309,1161.3,307.5,156527.0,89163.0,63.109,7.7,36.0,5.28,9.62,7.73,14.261,184.25,96626.0,32.634,20.837,NA
"1976-12-31",1938.4,33.868,1195.1,327.1,157222.0,89570.0,63.585,7.8,35.9,4.87,9.21,7.19,14.643,186.8,97102.0,33.143,21.282,NA
"1977-03-31",1992.5,34.411,1230.6,345.5,157911.0,90359.0,64.348,7.5,35.8,4.66,9.11,7.35,15.078,189.8,97703.0,33.695,21.683,NA
"1977-06-30",2060.2,34.952,1258.5,370.2,158652.0,91661.0,65.463,7.1,36.0,5.16,9.0,7.37,15.679,194.4,98696.0,34.211,22.124,NA
"1977-09-30",2122.4,35.437,1289.7,383.3,159430.0,92409.0,66.308,6.9,35.9,5.82,8.83,7.36,16.155,196.85,99244.0,34.782,22.555,NA
"1977-12-31",2168.7,36.034,1327.9,398.2,160140.0,93639.0,67.056,6.7,35.9,6.51,8.94,7.6,16.596,200.56,100294.0,35.292,22.946,NA
"1978-03-31",2208.7,36.637,1357.8,409.3,160829.0,94553.0,67.86,6.3,35.6,6.76,9.2,8.01,17.235,202.5,100934.0,35.854,23.721,NA
"1978-06-30",2336.6,37.338,1415.3,446.3,161525.0,95835.0,69.209,6.0,35.8,7.28,9.47,8.32,17.932,208.79,101947.0,36.477,23.979,NA
"1978-09-30",2398.9,37.987,1446.2,467.4,162265.0,96397.0,69.904,6.0,35.8,8.09,9.5,8.49,18.357,212.61,102568.0,37.105,24.342,NA
"1978-12-31",2482.2,38.759,1485.4,487.3,163024.0,97400.0,70.838,5.9,35.7,9.58,9.79,8.82,19.016,216.66,103484.0,37.771,24.914,NA
"1979-03-31",2531.6,39.47,1521.0,502.0,163756.0,98252.0,71.667,5.9,35.7,10.07,10.16,9.11,19.726,220.63,104383.0,38.284,25.662,NA
"1979-06-30",2595.9,40.411,1561.5,511.9,164447.0,98371.0,72.303,5.7,35.5,10.18,10.39,9.11,20.242,222.71,104327.0,39.121,26.227,NA
"1979-09-30",2670.4,41.235,1616.0,533.5,165200.0,99041.0,72.737,5.9,35.6,10.94,10.39,9.1,20.885,227.96,105209.0,39.841,26.836,NA
"1979-12-31",2730.7,42.044,1659.5,539.3,166055.0,99637.0,72.921,6.0,35.6,13.58,11.82,10.45,21.465,231.78,105923.0,40.669,27.526,NA
"1980-03-31",2796.5,42.955,1706.5,544.7,166762.0,99862.0,73.133,6.3,35.4,15.07,13.48,11.99,22.024,234.6,106567.0,41.659,28.311,NA
"1980-06-30",2799.9,43.895,1708.9,511.5,167416.0,98953.0,72.397,7.3,35.1,12.67,13.36,10.48,22.198,237.51,106767.0,42.589,29.04,NA
"1980-09-30",2860.0,44.903,1767.7,528.9,168111.0,98899.0,72.191,7.7,35.0,9.82,13.17,10.95,22.642,241.97,107121.0,43.534,29.757,NA
"1980-12-31",2993.5,46.165,1835.4,560.6,168694.0,99499.0,72.819,7.4,35.3,15.85,14.67,12.42,23.56,249.69,107442.0,44.592,30.587,NA
"1981-03-31",3131.8,47.358,1890.7,580.6,169279.0,100239.0,73.15,7.4,35.3,16.6,15.25,12.96,24.311,255.46,108274.0,45.582,31.388,NA
"1981-06-30",3167.3,48.197,1921.9,598.1,169837.0,100801.0,73.498,7.4,35.3,17.79,15.77,13.75,24.742,260.03,108848.0,46.437,31.934,NA
"1981-09-30",3261.2,49.096,1961.2,608.3,170413.0,100482.0,73.744,7.4,35.1,17.59,16.48,14.85,25.27,264.2,108525.0,47.287,32.626,NA
"1981-12-31",3283.5,49.98,1976.2,618.6,170990.0,100077.0,73.367,8.2,35.0,13.59,16.68,14.09,25.565,267.07,109057.0,48.122,33.134,NA
"1982-03-31",3273.8,50.652,2014.4,609.8,171497.0,99709.0,72.795,8.8,34.7,14.21,17.03,14.29,25.801,268.46,109374.0,48.818,33.988,NA
"1982-06-30",3331.3,51.278,2041.1,597.8,172020.0,99745.0,72.64,9.4,34.8,14.51,16.78,13.93,26.128,272.02,110117.0,49.473,34.285,NA
"1982-09-30",3367.1,52.001,2089.2,587.2,172522.0,99543.0,72.12,9.9,34.8,11.01,16.25,13.12,26.345,275.47,110526.0,50.264,34.817,NA
"1982-12-31",3407.8,52.566,2150.9,589.1,173046.0,99120.0,71.511,10.7,34.6,9.28,14.39,10.67,26.478,276.61,110959.0,50.969,35.311,NA
"1983-03-31",3480.3,53.013,2190.6,600.6,173505.0,99143.0,71.698,10.4,34.7,8.66,13.83,10.56,26.928,280.34,110639.0,51.663,35.703,NA
"1983-06-30",3583.8,53.371,2254.5,621.4,173957.0,99945.0,72.37,10.1,34.9,8.8,13.25,10.54,27.502,284.63,111168.0,52.064,36.06,NA
"1983-09-30",3692.3,53.929,2324.3,656.5,174449.0,101611.0,73.294,9.4,34.9,9.46,13.53,11.63,28.198,287.5,112095.0,52.857,36.259,NA
"1983-12-31",3796.1,54.32,2376.7,694.6,174950.0,102588.0,74.625,8.5,35.1,9.43,13.61,11.69,29.036,292.31,112160.0,53.282,36.651,NA
"1984-03-31",3912.8,54.885,2422.8,717.9,175679.0,103664.0,75.805,7.9,35.2,9.69,13.74,11.94,29.965,294.93,112512.0,53.817,37.113,NA
"1984-06-30",4015.0,55.37,2481.2,749.6,176125.0,105040.0,76.677,7.4,35.1,10.55,14.7,13.2,30.659,297.11,113521.0,54.448,37.474,NA
"1984-09-30",4087.4,55.827,2519.7,767.5,176595.0,105363.0,77.297,7.4,35.1,11.39,14.71,12.87,31.236,299.24,113837.0,54.961,38.004,NA
"1984-12-31",4147.6,56.174,2568.9,783.8,177132.0,105944.0,77.878,7.3,35.0,9.26,13.61,11.74,31.687,300.19,114257.0,55.356,38.301,NA
"1985-03-31",4237.0,56.839,2643.9,793.6,177522.0,106615.0,78.461,7.2,34.9,8.48,13.39,11.58,32.363,301.25,114976.0,56.122,38.8,NA
"1985-06-30",4302.3,57.161,2691.2,805.4,177946.0,106791.0,78.905,7.3,34.9,7.92,13.02,10.81,32.88,303.98,115177.0,56.63,39.167,NA
"1985-09-30",4394.6,57.528,2764.7,805.9,178413.0,107186.0,79.284,7.2,34.8,7.9,12.47,10.34,33.463,305.2,115505.0,57.22,39.752,NA
"1985-12-31",4453.1,57.837,2790.9,826.4,178941.0,108023.0,79.809,7.0,34.8,8.1,11.98,9.76,34.262,307.46,116211.0,57.622,40.511,NA
"1986-03-31",4516.3,58.118,2834.7,833.1,179825.0,108735.0,79.876,7.0,34.9,7.83,11.02,8.56,34.718,309.38,116928.0,58.248,41.108,NA
"1986-06-30",4555.2,58.334,2863.0,839.6,180321.0,109206.0,80.133,7.2,34.7,6.92,10.27,7.6,35.013,309.13,117643.0,58.634,41.554,NA
"1986-09-30",4619.6,58.606,2929.7,842.8,180836.0,109970.0,80.765,7.0,34.6,6.21,10.18,7.31,35.625,309.39,118225.0,59.023,42.068,NA
"1986-12-31",4669.4,58.96,2966.1,854.8,181365.0,110492.0,81.272,6.8,34.6,6.27,10.09,7.26,36.37,311.36,118587.0,59.495,42.625,NA
"1987-03-31",4736.2,59.306,2998.3,843.2,182001.0,111206.0,81.842,6.6,34.8,6.22,9.66,7.19,36.992,314.52,119079.0,59.866,42.84,NA
"1987-06-30",4821.5,59.694,3068.8,858.1,182527.0,112158.0,82.424,6.3,34.7,6.65,10.36,8.34,37.471,316.08,119663.0,60.437,43.149,NA
"1987-09-30",4900.5,60.135,3133.5,875.5,183016.0,112867.0,83.036,6.0,34.8,6.84,10.91,8.88,38.127,318.58,120077.0,60.972,43.599,NA
"1987-12-31",5022.7,60.605,3167.6,883.4,183467.0,113527.0,83.737,5.8,34.7,6.92,11.38,9.12,38.986,321.52,120593.0,61.601,44.126,NA
"1988-03-31",5090.6,61.075,3249.0,891.6,183967.0,114093.0,84.318,5.7,34.6,6.67,10.75,8.42,39.705,321.66,121013.0,62.186,44.9,NA
"1988-06-30",5207.7,61.681,3309.0,914.9,184389.0,114623.0,85.296,5.5,34.6,7.15,10.98,8.91,40.746,325.13,121265.0,62.94,45.428,NA
"1988-09-30",5299.5,62.426,3378.3,923.8,184840.0,115233.0,85.669,5.5,34.6,7.98,11.07,9.1,41.349,327.46,121917.0,63.665,45.973,NA
"1988-12-31",5412.7,62.961,3451.2,943.6,185253.0,115947.0,86.301,5.3,34.6,8.47,10.51,8.96,42.112,331.47,122488.0,64.368,46.309,NA
"1989-03-31",5527.4,63.602,3506.1,957.2,185773.0,116835.0,87.007,5.2,34.6,9.45,10.64,9.21,42.686,334.49,123251.0,65.048,46.482,NA
"1989-06-30",5628.4,64.271,3569.5,964.7,186178.0,117205.0,87.267,5.2,34.5,9.73,10.37,8.77,43.015,336.05,123678.0,65.628,46.654,NA
"1989-09-30",5711.6,64.744,3625.5,986.7,186602.0,117494.0,87.322,5.2,34.5,9.08,9.89,8.11,43.494,339.15,124026.0,66.101,47.067,NA
"1989-12-31",5763.4,65.174,3670.1,979.4,187018.0,117774.0,87.669,5.4,34.4,8.61,9.81,7.91,44.108,342.49,124448.0,66.7,47.725,NA
"1990-03-31",5890.8,65.901,3754.5,996.9,188520.0,119114.0,88.148,5.3,34.4,8.25,10.1,8.42,45.122,346.63,125781.0,67.451,48.706,NA
"1990-06-30",5974.7,66.58,3800.2,981.1,188916.0,118995.0,88.168,5.3,34.3,8.24,10.31,8.68,45.806,348.83,125705.0,68.197,49.719,NA
"1990-09-30",6029.5,67.18,3863.4,978.8,189353.0,118712.0,87.947,5.7,34.2,8.16,10.42,8.7,46.158,350.44,125871.0,68.875,50.422,NA
"1990-12-31",6023.3,67.702,3884.4,958.9,189866.0,118361.0,87.573,6.1,34.2,7.74,10.6,8.4,46.302,352.71,126069.0,69.446,50.837,NA
"1991-03-31",6054.9,68.373,3890.2,940.1,190272.0,117782.0,86.942,6.6,34.1,6.43,10.2,8.02,46.169,354.07,126071.0,70.036,51.227,NA
"1991-06-30",6143.6,68.832,3943.7,944.6,190656.0,117729.0,86.542,6.8,34.0,5.86,9.92,8.13,46.743,356.9,126352.0,70.564,52.184,NA
"1991-09-30",6218.4,69.328,3989.7,946.6,191121.0,117660.0,86.324,6.9,34.1,5.65,9.68,7.94,47.231,360.1,126318.0,71.196,52.789,NA
"1991-12-31",6279.3,69.694,4017.1,947.6,191651.0,117679.0,86.211,7.1,34.1,4.82,9.4,7.35,47.756,362.27,126669.0,71.749,53.441,NA
"1992-03-31",6380.8,70.014,4117.7,956.5,192075.0,117958.0,85.763,7.4,34.1,4.02,9.2,7.3,48.7,363.96,127357.0,72.288,54.779,NA
"1992-06-30",6492.3,70.457,4173.4,989.9,192507.0,118407.0,85.885,7.6,34.3,3.77,9.13,7.38,49.336,368.14,128140.0,72.797,55.253,NA
"1992-09-30",6586.5,70.785,4245.4,1003.7,193024.0,118753.0,86.084,7.6,34.2,3.26,8.7,6.62,49.998,370.06,128559.0,73.228,55.883,NA
"1992-12-31",6697.6,71.275,4326.2,1036.7,193616.0,118834.0,86.494,7.4,34.2,3.03,8.87,6.74,50.689,371.75,128340.0,73.77,56.276,NA
"1993-03-31",6748.2,71.704,4368.5,1048.0,194106.0,119297.0,87.187,7.1,34.2,3.04,8.4,6.28,50.652,374.97,128485.0,74.277,55.75,NA
"1993-06-30",6829.6,72.136,4437.5,1070.4,194555.0,119960.0,87.896,7.1,34.3,3.0,8.14,5.99,51.641,378.13,129086.0,74.844,56.185,NA
"1993-09-30",6904.2,72.504,4506.0,1089.3,195068.0,120626.0,88.323,6.8,34.4,3.06,7.62,5.62,51.971,380.67,129428.0,75.263,56.255,NA
"1993-12-31",7032.8,72.913,4572.0,1136.4,195621.0,121152.0,89.004,6.6,34.4,2.99,7.55,5.61,52.881,383.67,129742.0,75.649,56.76,NA
"1994-03-31",7136.3,73.291,4640.8,1156.7,196085.0,121994.0,89.661,6.6,34.4,3.21,7.85,6.07,52.876,386.17,130555.0,75.988,56.527,NA
"1994-06-30",7269.8,73.652,4702.9,1183.7,196522.0,122596.0,90.548,6.2,34.5,3.94,8.6,7.08,54.198,389.51,130654.0,76.498,56.976,NA
"1994-09-30",7352.3,74.021,4773.1,1198.4,197050.0,123245.0,91.6,6.0,34.5,4.49,8.84,7.33,54.81,392.41,131116.0,76.922,56.925,NA
"1994-12-31",7476.7,74.44,4847.2,1232.0,197601.0,124450.0,92.118,5.6,34.5,5.17,9.21,7.84,55.448,394.91,131862.0,77.313,57.259,NA
"1995-03-31",7545.3,74.89,4883.4,1266.1,197882.0,124849.0,92.928,5.5,34.4,5.8,8.88,7.48,56.029,396.29,132087.0,77.709,57.459,NA
"1995-06-30",7604.9,75.226,4955.0,1270.1,198296.0,124629.0,93.318,5.7,34.3,6.02,8.23,6.62,56.397,397.38,132130.0,78.155,57.842,NA
"1995-09-30",7706.5,75.548,5020.5,1291.9,198807.0,124934.0,93.886,5.7,34.3,5.8,8.05,6.32,57.36,401.2,132430.0,78.52,58.173,NA
"1995-12-31",7799.5,75.908,5077.9,1317.2,199352.0,125221.0,94.151,5.6,34.3,5.72,7.64,5.89,57.981,403.66,132614.0,78.914,58.756,NA
"1996-03-31",7893.1,76.296,5153.8,1348.3,199776.0,125542.0,94.802,5.5,34.1,5.37,7.71,5.91,58.758,405.39,132916.0,79.229,59.641,NA
"1996-06-30",8061.5,76.584,5244.2,1388.0,200279.0,126280.0,95.407,5.5,34.3,5.24,8.3,6.72,59.867,411.14,133591.0,79.599,60.282,NA
"1996-09-30",8159.0,76.932,5298.3,1423.4,200850.0,127218.0,96.027,5.3,34.4,5.31,8.29,6.78,60.825,415.73,134284.0,79.962,60.762,NA
"1996-12-31",8287.1,77.257,5376.1,1445.3,201457.0,127840.0,96.946,5.3,34.4,5.28,7.92,6.34,61.863,419.91,135014.0,80.414,61.037,NA
"1997-03-31",8402.1,77.637,5456.7,1472.2,202396.0,128496.0,97.687,5.2,34.4,5.28,8.07,6.56,63.102,424.04,135582.0,80.729,61.599,NA
"1997-06-30",8551.9,77.998,5495.1,1501.5,202835.0,129340.0,98.237,5.0,34.5,5.52,8.19,6.7,63.968,428.72,136115.0,81.145,62.072,NA
"1997-09-30",8691.8,78.225,5603.5,1557.4,203367.0,129950.0,98.715,4.9,34.6,5.53,7.76,6.24,64.981,434.04,136590.0,81.328,62.673,NA
"1997-12-31",8788.3,78.493,5687.6,1567.6,203935.0,130504.0,99.327,4.7,34.6,5.51,7.44,5.91,66.462,439.46,136916.0,81.582,63.803,NA
"1998-03-31",8889.7,78.606,5745.9,1607.2,204395.0,130782.0,99.864,4.6,34.5,5.52,7.25,5.59,68.029,443.29,137148.0,81.808,64.944,NA
"1998-06-30",8994.7,78.786,5857.8,1657.4,204905.0,131259.0,100.543,4.4,34.4,5.5,7.25,5.6,69.243,446.26,137326.0,82.056,65.799,NA
"1998-09-30",9146.5,79.071,5952.8,1687.4,205483.0,131568.0,100.985,4.5,34.5,5.53,7.13,5.2,70.446,450.36,137815.0,82.342,66.833,NA
"1998-12-31",9325.7,79.278,6055.6,1734.4,206098.0,132294.0,101.484,4.4,34.5,4.86,7.25,4.67,71.694,454.27,138431.0,82.595,67.079,NA
"1999-03-31",9447.1,79.575,6129.0,1767.2,206876.0,132943.0,101.678,4.3,34.4,4.73,7.4,4.98,72.867,457.08,138900.0,82.861,68.162,NA
"1999-06-30",9557.0,79.908,6253.0,1810.7,207432.0,133215.0,102.335,4.3,34.4,4.75,7.74,5.54,73.551,461.43,139132.0,83.118,68.321,NA
"1999-09-30",9712.3,80.191,6357.2,1850.4,208044.0,133571.0,102.901,4.2,34.4,5.1,8.1,5.88,74.66,465.9,139497.0,83.403,68.896,NA
